Legislation Number,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Subject
H.R. 8289,118th Congress (2023-2024),"Airport and Airway Extension Act of 2024, Part II","Graves, Sam [Rep.-R-MO-6]",Republican,2024-05-08,Transportation and Public Works
H.R. 7888,118th Congress (2023-2024),Reforming Intelligence and Securing America Act,"Lee, Laurel M. [Rep.-R-FL-15]",Republican,2024-04-09,Armed Forces and National Security
H.R. 7463,118th Congress (2023-2024),"Extension of Continuing Appropriations and Other Matters Act, 2024","Granger, Kay [Rep.-R-TX-12]",Republican,2024-02-28,Economics and Public Finance
H.R. 7454,118th Congress (2023-2024),Airport and Airway Extension Act of 2024,"Graves, Sam [Rep.-R-MO-6]",Republican,2024-02-26,Transportation and Public Works
H.R. 6503,118th Congress (2023-2024),"Airport and Airway Extension Act of 2023, Part II","Graves, Sam [Rep.-R-MO-6]",Republican,2023-11-29,Transportation and Public Works
H.R. 6363,118th Congress (2023-2024),"Further Continuing Appropriations and Other Extensions Act, 2024","Granger, Kay [Rep.-R-TX-12]",Republican,2023-11-13,Economics and Public Finance
H.R. 5860,118th Congress (2023-2024),"Continuing Appropriations Act, 2024 and Other Extensions Act","Granger, Kay [Rep.-R-TX-12]",Republican,2023-09-30,Economics and Public Finance
H.R. 5110,118th Congress (2023-2024),Protecting Hunting Heritage and Education Act,"Green, Mark E. [Rep.-R-TN-7]",Republican,2023-08-01,Education
H.R. 4389,118th Congress (2023-2024),Migratory Birds of the Americas Conservation Enhancements Act of 2023,"Salazar, Maria Elvira [Rep.-R-FL-27]",Republican,2023-06-27,Birds
H.R. 4366,118th Congress (2023-2024),"Consolidated Appropriations Act, 2024","Carter, John R. [Rep.-R-TX-31]",Republican,2023-06-27,Alliances
H.R. 4004,118th Congress (2023-2024),United States-Taiwan Initiative on 21st-Century Trade First Agreement Implementation Act,"Smith, Jason [Rep.-R-MO-8]",Republican,2023-06-12,Foreign Trade and International Finance
H.R. 3947,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 859 North State Road 21 in Melrose, Florida, as the ""Pamela Jane Rock Post Office Building"".","Bean, Aaron [Rep.-R-FL-4]",Republican,2023-06-09,"Government buildings, facilities, and property"
H.R. 3944,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 120 West Church Street in Mount Vernon, Georgia, as the ""Second Lieutenant Patrick Palmer Calhoun Post Office"".","Allen, Rick W. [Rep.-R-GA-12]",Republican,2023-06-09,"Government buildings, facilities, and property"
H.R. 3935,118th Congress (2023-2024),Securing Growth and Robust Leadership in American Aviation Act,"Graves, Sam [Rep.-R-MO-6]",Republican,2023-06-09,Computers and information technology
H.R. 3865,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 101 South 8th Street in Lebanon, Pennsylvania, as the ""Lieutenant William D. Lebo Post Office Building"".","Meuser, Daniel [Rep.-R-PA-9]",Republican,2023-06-06,Government Operations and Politics
H.R. 3746,118th Congress (2023-2024),Fiscal Responsibility Act of 2023,"McHenry, Patrick T. [Rep.-R-NC-10]",Republican,2023-05-29,Economics and Public Finance
H.R. 3672,118th Congress (2023-2024),"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the ""Pfc. Justin T. Paton Department of Veterans Affairs Clinic"".","Bergman, Jack [Rep.-R-MI-1]",Republican,2023-05-25,Armed Forces and National Security
H.R. 3315,118th Congress (2023-2024),National Guard and Reservists Debt Relief Extension Act of 2023,"Cohen, Steve [Rep.-D-TN-9]",Democratic,2023-05-15,Finance and Financial Sector
H.R. 2882,118th Congress (2023-2024),"Further Consolidated Appropriations Act, 2024","Ciscomani, Juan [Rep.-R-AZ-6]",Republican,2023-04-26,Environmental Protection
H.R. 2872,118th Congress (2023-2024),"Further Additional Continuing Appropriations and Other Extensions Act, 2024","Graves, Garret [Rep.-R-LA-6]",Republican,2023-04-26,Public Lands and Natural Resources
H.R. 2839,118th Congress (2023-2024),"To amend the Siletz Reservation Act to address the hunting, fishing, trapping, and animal gathering rights of the Confederated Tribes of Siletz Indians, and for other purposes.","Hoyle, Val T. [Rep.-D-OR-4]",Democratic,2023-04-25,Native Americans
H.R. 2754,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 2395 East Del Mar Boulevard in Laredo, Texas, as the ""Lance Corporal David Lee Espinoza, Lance Corporal Juan Rodrigo Rodriguez & Sergeant Roberto Arizola Jr. Post Office Building"".","Cuellar, Henry [Rep.-D-TX-28]",Democratic,2023-04-20,Government Operations and Politics
H.R. 2670,118th Congress (2023-2024),National Defense Authorization Act for Fiscal Year 2024,"Rogers, Mike D. [Rep.-R-AL-3]",Republican,2023-04-18,Armed Forces and National Security
H.R. 2544,118th Congress (2023-2024),Securing the U.S. Organ Procurement and Transplantation Network Act,"Bucshon, Larry [Rep.-R-IN-8]",Republican,2023-04-10,Health
H.R. 2379,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 616 East Main Street in St. Charles, Illinois, as the ""Veterans of the Vietnam War Memorial Post Office"".","Krishnamoorthi, Raja [Rep.-D-IL-8]",Democratic,2023-03-29,Government Operations and Politics
H.R. 1734,118th Congress (2023-2024),TRANQ Research Act of 2023,"Collins, Mike [Rep.-R-GA-10]",Republican,2023-03-23,"Science, Technology, Communications"
H.R. 1722,118th Congress (2023-2024),Grand Ronde Reservation Act Amendment of 2023,"Salinas, Andrea [Rep.-D-OR-6]",Democratic,2023-03-22,Native Americans
H.R. 1568,118th Congress (2023-2024),Moving Americans Privacy Protection Act,"Waltz, Michael [Rep.-R-FL-6]",Republican,2023-03-10,Foreign Trade and International Finance
H.R. 1226,118th Congress (2023-2024),Wounded Warrior Access Act,"Aguilar, Pete [Rep.-D-CA-33]",Democratic,2023-02-28,Armed Forces and National Security
H.R. 1096,118th Congress (2023-2024),250th Anniversary of the United States Marine Corps Commemorative Coin Act,"Moulton, Seth [Rep.-D-MA-6]",Democratic,2023-02-17,Finance and Financial Sector
H.R. 1042,118th Congress (2023-2024),Prohibiting Russian Uranium Imports Act,"McMorris Rodgers, Cathy [Rep.-R-WA-5]",Republican,2023-02-14,Energy
H.R. 996,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 3901 MacArthur Blvd., in New Orleans, Louisiana, as the ""Dr. Rudy Lombard Post Office"".","Carter, Troy [Rep.-D-LA-2]",Democratic,2023-02-14,Government Operations and Politics
H.R. 815,118th Congress (2023-2024),"Making emergency supplemental appropriations for the fiscal year ending September 30, 2024, and for other purposes.","McMorris Rodgers, Cathy [Rep.-R-WA-5]",Republican,2023-02-02,Veterans' medical care
H.R. 593,118th Congress (2023-2024),"To rename the Department of Veterans Affairs community-based outpatient clinic in Hinesville, Georgia, as the ""John Gibson, Dan James, William Sapp, and Frankie Smiley VA Clinic"".","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",Republican,2023-01-27,Armed Forces and National Security
H.R. 423,118th Congress (2023-2024),Pala Band of Mission Indians Land Transfer Act of 2023,"Issa, Darrell E. [Rep.-R-CA-48]",Republican,2023-01-20,Native Americans
H.R. 366,118th Congress (2023-2024),Korean American VALOR Act,"Takano, Mark [Rep.-D-CA-39]",Democratic,2023-01-13,Armed Forces and National Security
H.R. 346,118th Congress (2023-2024),NOTAM Improvement Act of 2023,"Stauber, Pete [Rep.-R-MN-8]",Republican,2023-01-12,Transportation and Public Works
H.R. 292,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 24355 Creekside Road in Santa Clarita, California, as the ""William L. Reynolds Post Office Building"".","Garcia, Mike [Rep.-R-CA-27]",Republican,2023-01-11,Government Operations and Politics
H.J.Res. 64,118th Congress (2023-2024),Providing for the reappointment of Roger W. Ferguson as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Smith, Adrian [Rep.-R-NE-3]",Republican,2023-05-11,Federal officials
H.J.Res. 63,118th Congress (2023-2024),Providing for the appointment of Antoinette Bush as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Smith, Adrian [Rep.-R-NE-3]",Republican,2023-05-11,"Museums, exhibitions, cultural centers"
H.J.Res. 62,118th Congress (2023-2024),Providing for the reappointment of Michael Govan as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Smith, Adrian [Rep.-R-NE-3]",Republican,2023-05-11,Smithsonian Institution
H.J.Res. 26,118th Congress (2023-2024),Disapproving the action of the District of Columbia Council in approving the Revised Criminal Code Act of 2022.,"Clyde, Andrew S. [Rep.-R-GA-9]",Republican,2023-02-02,Government Operations and Politics
H.J.Res. 7,118th Congress (2023-2024),"Relating to a national emergency declared by the President on March 13, 2020.","Gosar, Paul A. [Rep.-R-AZ-9]",Republican,2023-01-09,Emergency Management
S. 3427,118th Congress (2023-2024),Overtime Pay for Protective Services Act of 2023,"Graham, Lindsey [Sen.-R-SC]",Republican,2023-12-06,Government Operations and Politics
S. 3250,118th Congress (2023-2024),"A bill to provide remote access to court proceedings for victims of the 1988 Bombing of Pan Am Flight 103 over Lockerbie, Scotland.","Cornyn, John [Sen.-R-TX]",Republican,2023-11-08,Law
S. 3222,118th Congress (2023-2024),"A bill to ensure the security of office space rented by Senators, and for other purposes.","Klobuchar, Amy [Sen.-D-MN]",Democratic,2023-11-02,Congress
S. 2795,118th Congress (2023-2024),"A bill to amend title 38, United States Code, to extend and modify certain authorities and requirements relating to the Department of Veterans Affairs, and for other purposes.","Tester, Jon [Sen.-D-MT]",Democratic,2023-09-13,Armed Forces and National Security
S. 2787,118th Congress (2023-2024),5G SALE Act,"Kennedy, John [Sen.-R-LA]",Republican,2023-09-13,"Science, Technology, Communications"
S. 2747,118th Congress (2023-2024),A bill to amend the Federal Election Campaign Act of 1971 to extend the Administrative Fine Program for certain reporting violations.,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2023-09-07,Government Operations and Politics
S. 1858,118th Congress (2023-2024),Disaster Assistance Deadlines Alignment Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2023-06-07,Emergency Management
S. 1278,118th Congress (2023-2024),"A bill to designate the Federal building located at 985 Michigan Avenue in Detroit, Michigan, as the ""Rosa Parks Federal Building"", and for other purposes.","Stabenow, Debbie [Sen.-D-MI]",Democratic,2023-04-25,Government Operations and Politics
S. 992,118th Congress (2023-2024),I-27 Numbering Act of 2023,"Cruz, Ted [Sen.-R-TX]",Republican,2023-03-28,Transportation and Public Works
S. 788,118th Congress (2023-2024),Duck Stamp Modernization Act of 2023,"Boozman, John [Sen.-R-AR]",Republican,2023-03-14,Public Lands and Natural Resources
S. 777,118th Congress (2023-2024),Veterans' COLA Act of 2023,"Tester, Jon [Sen.-D-MT]",Democratic,2023-03-14,Armed Forces and National Security
S. 619,118th Congress (2023-2024),COVID-19 Origin Act of 2023,"Hawley, Josh [Sen.-R-MO]",Republican,2023-03-01,Asia
S. 546,118th Congress (2023-2024),Recruit and Retain Act,"Fischer, Deb [Sen.-R-NE]",Republican,2023-02-28,Crime and Law Enforcement
S. 475,118th Congress (2023-2024),"A bill to designate the clinic of the Department of Veterans Affairs in Gallup, New Mexico, as the Hiroshi ""Hershey"" Miyamura VA Clinic.","Heinrich, Martin [Sen.-D-NM]",Democratic,2023-02-16,Armed Forces and National Security
S. 474,118th Congress (2023-2024),REPORT Act,"Blackburn, Marsha [Sen.-R-TN]",Republican,2023-02-16,Crime and Law Enforcement
S. 467,118th Congress (2023-2024),CADETS Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2023-02-16,Transportation and Public Works
S. 382,118th Congress (2023-2024),Puyallup Tribe of Indians Land Into Trust Confirmation Act of 2023,"Cantwell, Maria [Sen.-D-WA]",Democratic,2023-02-09,Native Americans
S. 206,118th Congress (2023-2024),END FENTANYL Act,"Scott, Rick [Sen.-R-FL]",Republican,2023-02-01,Border security and unlawful immigration
S. 112,118th Congress (2023-2024),"A bill to amend title 38, United States Code, to strengthen benefits for children of Vietnam veterans born with spina bifida, and for other purposes.","Braun, Mike [Sen.-R-IN]",Republican,2023-01-26,Armed Forces and National Security
S. 111,118th Congress (2023-2024),Providing Accountability Through Transparency Act of 2023,"Lankford, James [Sen.-R-OK]",Republican,2023-01-26,Government Operations and Politics
S. 30,118th Congress (2023-2024),Fiscal Year 2023 Veterans Affairs Major Medical Facility Authorization Act,"Tester, Jon [Sen.-D-MT]",Democratic,2023-01-24,Armed Forces and National Security
H.R. 9308,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 6401 El Cajon Boulevard in San Diego, California, as the ""Susan A. Davis Post Office"".","Jacobs, Sara [Rep.-D-CA-53]",Democratic,2022-11-16,Government Operations and Politics
H.R. 8982,117th Congress (2021-2022),Bulk Infant Formula to Retail Shelves Act,"DelBene, Suzan K. [Rep.-D-WA-1]",Democratic,2022-09-26,Foreign Trade and International Finance
H.R. 8656,117th Congress (2021-2022),"To designate the clinic of the Department of Veterans Affairs in Mishawaka, Indiana, as the ""Jackie Walorski VA Clinic"".","Banks, Jim [Rep.-R-IN-3]",Republican,2022-08-05,Armed Forces and National Security
H.R. 8454,117th Congress (2021-2022),Medical Marijuana and Cannabidiol Research Expansion Act,"Blumenauer, Earl [Rep.-D-OR-3]",Democratic,2022-07-21,Crime and Law Enforcement
H.R. 8404,117th Congress (2021-2022),Respect for Marriage Act,"Nadler, Jerrold [Rep.-D-NY-10]",Democratic,2022-07-18,"Civil Rights and Liberties, Minority Issues"
H.R. 8351,117th Congress (2021-2022),Formula Act,"Blumenauer, Earl [Rep.-D-OR-3]",Democratic,2022-07-13,Foreign Trade and International Finance
H.R. 8260,117th Congress (2021-2022),Faster Payments to Veterans' Survivors Act of 2022,"Pappas, Chris [Rep.-D-NH-1]",Democratic,2022-07-01,Armed Forces and National Security
H.R. 8226,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 236 Concord Exchange North in South Saint Paul, Minnesota, as the ""Officer Leo Pavlak Post Office Building"".","Craig, Angie [Rep.-D-MN-2]",Democratic,2022-06-24,Government Operations and Politics
H.R. 8203,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 651 Business Interstate Highway 35 North Suite 420 in New Braunfels, Texas, as the ""Bob Krueger Post Office"".","Doggett, Lloyd [Rep.-D-TX-35]",Democratic,2022-06-23,Government Operations and Politics
H.R. 8026,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 825 West 65th Street in Minneapolis, Minnesota, as the ""Charles W. Lindberg Post Office"".","Omar, Ilhan [Rep.-D-MN-5]",Democratic,2022-06-13,Government Operations and Politics
H.R. 8025,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 100 South 1st Street in Minneapolis, Minnesota, as the ""Martin Olav Sabo Post Office"".","Omar, Ilhan [Rep.-D-MN-5]",Democratic,2022-06-13,Government Operations and Politics
H.R. 7939,117th Congress (2021-2022),Veterans Auto and Education Improvement Act of 2022,"Levin, Mike [Rep.-D-CA-49]",Democratic,2022-06-03,Armed Forces and National Security
H.R. 7925,117th Congress (2021-2022),"To designate the Department of Veterans Affairs community-based outpatient clinic located in Palm Desert, California, as the 
""Sy Kaplan VA Clinic"".","Ruiz, Raul [Rep.-D-CA-36]",Democratic,2022-05-31,Armed Forces and National Security
H.R. 7903,117th Congress (2021-2022),"To designate the Department of Veterans Affairs community-based outpatient clinic located in Canton, Michigan, as the ""Major General Oliver W. Dillard VA Clinic"".","Stevens, Haley M. [Rep.-D-MI-11]",Democratic,2022-05-27,Armed Forces and National Security
H.R. 7846,117th Congress (2021-2022),Veterans' Compensation Cost-of-Living Adjustment Act of 2022,"Luria, Elaine G. [Rep.-D-VA-2]",Democratic,2022-05-19,Armed Forces and National Security
H.R. 7791,117th Congress (2021-2022),Access to Baby Formula Act of 2022,"Hayes, Jahana [Rep.-D-CT-5]",Democratic,2022-05-17,Agriculture and Food
H.R. 7776,117th Congress (2021-2022),James M. Inhofe National Defense Authorization Act for Fiscal Year 2023,"DeFazio, Peter A. [Rep.-D-OR-4]",Democratic,2022-05-16,Washington State
H.R. 7735,117th Congress (2021-2022),Improving Access to the VA Home Loan Benefit Act of 2022,"Bost, Mike [Rep.-R-IL-12]",Republican,2022-05-12,Armed Forces and National Security
H.R. 7698,117th Congress (2021-2022),"To designate the outpatient clinic of the Department of Veterans Affairs in Ventura, California, as the ""Captain Rosemary Bryant Mariner Outpatient Clinic"".","Brownley, Julia [Rep.-D-CA-26]",Democratic,2022-05-10,Armed Forces and National Security
H.R. 7691,117th Congress (2021-2022),"Additional Ukraine Supplemental Appropriations Act, 2022","DeLauro, Rosa L. [Rep.-D-CT-3]",Democratic,2022-05-10,International Affairs
H.R. 7638,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 6000 South Florida Avenue in Lakeland, Florida, as the ""U.S. Marine Corporal Ronald R. Payne Jr. Post Office"".","Franklin, C. Scott [Rep.-R-FL-15]",Republican,2022-04-29,Government Operations and Politics
H.R. 7535,117th Congress (2021-2022),Quantum Computing Cybersecurity Preparedness Act,"Khanna, Ro [Rep.-D-CA-17]",Democratic,2022-04-18,Right of privacy
H.R. 7519,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 2050 South Boulevard in Bloomfield Township, Michigan, as the ""Dr. Ezra S. Parke Post Office Building"".","Levin, Andy [Rep.-D-MI-9]",Democratic,2022-04-14,Government Operations and Politics
H.R. 7518,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 23200 John R Road in Hazel Park, Michigan, as the ""Roy E. Dickens Post Office"".","Levin, Andy [Rep.-D-MI-9]",Democratic,2022-04-14,Government Operations and Politics
H.R. 7514,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 345 South Main Street in Butler, Pennsylvania, as the ""Andrew Gomer Williams Post Office Building"".","Kelly, Mike [Rep.-R-PA-16]",Republican,2022-04-14,Government Operations and Politics
H.R. 7500,117th Congress (2021-2022),Fiscal Year 2022 Veterans Affairs Major Medical Facility Authorization Act,"Allred, Colin Z. [Rep.-D-TX-32]",Democratic,2022-04-14,Armed Forces and National Security
H.R. 7352,117th Congress (2021-2022),PPP and Bank Fraud Enforcement Harmonization Act of 2022,"Velazquez, Nydia M. [Rep.-D-NY-7]",Democratic,2022-03-31,Commerce
H.R. 7335,117th Congress (2021-2022),MST Claims Coordination Act,"Luria, Elaine G. [Rep.-D-VA-2]",Democratic,2022-03-31,Armed Forces and National Security
H.R. 7334,117th Congress (2021-2022),COVID-19 EIDL Fraud Statute of Limitations Act of 2022,"Luetkemeyer, Blaine [Rep.-R-MO-3]",Republican,2022-03-31,Infectious and parasitic diseases
H.R. 7299,117th Congress (2021-2022),SVAC Act of 2022,"Mrvan, Frank J. [Rep.-D-IN-1]",Democratic,2022-03-30,Armed Forces and National Security
H.R. 7181,117th Congress (2021-2022),Human Trafficking Prevention Act of 2022,"Jeffries, Hakeem S. [Rep.-D-NY-8]",Democratic,2022-03-21,Transportation and Public Works
H.R. 7132,117th Congress (2021-2022),Safe Connections Act of 2022,"Kuster, Ann M. [Rep.-D-NH-2]",Democratic,2022-03-17,"Science, Technology, Communications"
H.R. 7108,117th Congress (2021-2022),Suspending Normal Trade Relations with Russia and Belarus Act,"Neal, Richard E. [Rep.-D-MA-1]",Democratic,2022-03-17,"Diplomacy, foreign officials, Americans abroad"
H.R. 7077,117th Congress (2021-2022),Empowering the U.S. Fire Administration Act,"Torres, Ritchie [Rep.-D-NY-15]",Democratic,2022-03-15,Emergency Management
H.R. 6968,117th Congress (2021-2022),Ending Importation of Russian Oil Act,"Doggett, Lloyd [Rep.-D-TX-35]",Democratic,2022-03-08,Ukraine
H.R. 6961,117th Congress (2021-2022),Dignity for MST Survivors Act,"Mrvan, Frank J. [Rep.-D-IN-1]",Democratic,2022-03-07,Armed Forces and National Security
H.R. 6943,117th Congress (2021-2022),Public Safety Officer Support Act of 2022,"Trone, David J. [Rep.-D-MD-6]",Democratic,2022-03-07,Crime and Law Enforcement
H.R. 6917,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 301 East Congress Parkway in Crystal Lake, Illinois, as the ""Ryan J. Cummings Post Office Building"".","Casten, Sean [Rep.-D-IL-6]",Democratic,2022-03-03,Government Operations and Politics
H.R. 6899,117th Congress (2021-2022),Russia and Belarus SDR Exchange Prohibition Act of 2022,"Hill, J. French [Rep.-R-AR-2]",Republican,2022-03-02,Belarus
H.R. 6863,117th Congress (2021-2022),"To designate the medical center of the Department of Veterans Affairs in Memphis, Tennessee, as the ""Lt. Col. Luke Weathers, Jr. VA Medical Center"".","Cohen, Steve [Rep.-D-TN-9]",Democratic,2022-02-28,Armed Forces and National Security
H.R. 6833,117th Congress (2021-2022),"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023","Craig, Angie [Rep.-D-MN-2]",Democratic,2022-02-25,Drug therapy
H.R. 6722,117th Congress (2021-2022),"To designate the Department of Veterans Affairs community-based outpatient clinic in French Camp, California, as the ""Richard A. Pittman VA Clinic"".","McNerney, Jerry [Rep.-D-CA-9]",Democratic,2022-02-15,Armed Forces and National Security
H.R. 6630,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 1400 N Kraemer Blvd. in Placentia, California, as the ""PFC Jang Ho Kim Post Office Building"".","Kim, Young [Rep.-R-CA-39]",Republican,2022-02-07,Government Operations and Politics
H.R. 6617,117th Congress (2021-2022),Further Additional Extending Government Funding Act,"DeLauro, Rosa L. [Rep.-D-CT-3]",Democratic,2022-02-07,Economics and Public Finance
H.R. 6614,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 4744 Grand River Avenue in Detroit, Michigan, as the ""Rosa Louise McCauley Parks Post Office Building"".","Tlaib, Rashida [Rep.-D-MI-13]",Democratic,2022-02-04,Government Operations and Politics
H.R. 6604,117th Congress (2021-2022),Veterans Eligible to Transfer School (VETS) Credit Act,"Buchanan, Vern [Rep.-R-FL-16]",Republican,2022-02-04,Armed Forces and National Security
H.R. 6427,117th Congress (2021-2022),Red River National Wildlife Refuge Boundary Modification Act,"Johnson, Mike [Rep.-R-LA-4]",Republican,2022-01-19,Public Lands and Natural Resources
H.R. 6386,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the ""Veterans of Iraq and Afghanistan Memorial Post Office Building"".","Krishnamoorthi, Raja [Rep.-D-IL-8]",Democratic,2022-01-12,Government Operations and Politics
H.R. 6267,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 15 Chestnut Street in Suffern, New York, as the ""Sergeant Gerald T. 'Jerry' Donnellan Post Office"".","Jones, Mondaire [Rep.-D-NY-17]",Democratic,2021-12-14,Government Operations and Politics
H.R. 6256,117th Congress (2021-2022),"To ensure that goods made with forced labor in the Xinjiang Uyghur Autonomous Region of the People’s Republic of China do not enter the United States market, and for other purposes.","McGovern, James P. [Rep.-D-MA-2]",Democratic,2021-12-14,Religion
H.R. 6221,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 155 Main Avenue West in Winsted, Minnesota, as the ""James A. Rogers Jr. Post Office"".","Fischbach, Michelle [Rep.-R-MN-7]",Republican,2021-12-09,Government Operations and Politics
H.R. 6220,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 100 3rd Avenue Northwest in Perham, Minnesota, as the ""Charles P. Nord Post Office"".","Fischbach, Michelle [Rep.-R-MN-7]",Republican,2021-12-09,Government Operations and Politics
H.R. 6218,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 317 Blattner Drive in Avon, Minnesota, as the ""W.O.C. Kort Miller Plantenberg Post Office"".","Emmer, Tom [Rep.-R-MN-6]",Republican,2021-12-09,Government Operations and Politics
H.R. 6119,117th Congress (2021-2022),"Further Extending Government Funding 
Act","DeLauro, Rosa L. [Rep.-D-CT-3]",Democratic,2021-12-02,Immigrant health and welfare
H.R. 6080,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 5420 Kavanaugh Boulevard in Little Rock, Arkansas, as the ""Ronald A. Robinson Post Office"".","Hill, J. French [Rep.-R-AR-2]",Republican,2021-11-26,Government Operations and Politics
H.R. 6064,117th Congress (2021-2022),"To direct the Secretary of Veterans Affairs to seek to enter into an agreement with the National Academies of Sciences, Engineering, and Medicine for a review of examinations, furnished by the Secretary, to individuals who submit claims to the Secretary for compensation under chapter 11 of title 38, United States Code, for mental and physical conditions linked to military sexual trauma.","Nehls, Troy E. [Rep.-R-TX-22]",Republican,2021-11-19,Armed Forces and National Security
H.R. 6042,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 213 William Hilton Parkway in Hilton Head Island, South Carolina, as the ""Caesar H. Wright Jr. Post Office Building"".","Mace, Nancy [Rep.-R-SC-1]",Republican,2021-11-18,Government Operations and Politics
H.R. 6023,117th Congress (2021-2022),Multinational Species Conservation Funds Semipostal Stamp Reauthorization Act of 2021,"Costa, Jim [Rep.-D-CA-16]",Democratic,2021-11-18,Government Operations and Politics
H.R. 5973,117th Congress (2021-2022),Great Lakes Fish and Wildlife Restoration Reauthorization Act of 2022,"Dingell, Debbie [Rep.-D-MI-12]",Democratic,2021-11-15,Environmental Protection
H.R. 5961,117th Congress (2021-2022),"To make revisions in title 5, United States Code, as necessary to keep the title current, and to make technical amendments to improve the United States Code.","Neguse, Joe [Rep.-D-CO-2]",Democratic,2021-11-12,Government Operations and Politics
H.R. 5952,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 123 East Main Street, in Vergas, Minnesota, as the ""Jon Glawe Post Office"".","Fischbach, Michelle [Rep.-R-MN-7]",Republican,2021-11-12,Government Operations and Politics
H.R. 5943,117th Congress (2021-2022),"To designate the outpatient clinic of the Department of Veterans Affairs in Greenville, South Carolina, as the ""Lance Corporal Dana Cornell Darnell VA Clinic"".","Timmons, William R. IV [Rep.-R-SC-4]",Republican,2021-11-09,Armed Forces and National Security
H.R. 5900,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the ""Marine Corps Reserve PVT Jacob Cruz Post Office"".","Gomez, Jimmy [Rep.-D-CA-34]",Democratic,2021-11-05,Government Operations and Politics
H.R. 5865,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 4110 Bluebonnet Drive in Stafford, Texas, as the ""Leonard Scarcella Post Office Building"".","Green, Al [Rep.-D-TX-9]",Democratic,2021-11-04,Government Operations and Politics
H.R. 5809,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 1801 Town and Country Drive in Norco, California, as the ""Lance Corporal Kareem Nikoui Memorial Post Office Building"".","Calvert, Ken [Rep.-R-CA-42]",Republican,2021-11-02,Government Operations and Politics
H.R. 5796,117th Congress (2021-2022),Patents for Humanity Act of 2022,"Jeffries, Hakeem S. [Rep.-D-NY-8]",Democratic,2021-11-01,Commerce
H.R. 5794,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 850 Walnut Street in McKeesport, Pennsylvania, as the First Sergeant Leonard A. Funk, Jr. Post Office Building.","Doyle, Michael F. [Rep.-D-PA-18]",Democratic,2021-11-01,Government Operations and Politics
H.R. 5763,117th Congress (2021-2022),Further Surface Transportation Extension Act of 2021,"DeFazio, Peter A. [Rep.-D-OR-4]",Democratic,2021-10-28,Transportation and Public Works
H.R. 5754,117th Congress (2021-2022),Patient Advocate Tracker Act,"McClain, Lisa C. [Rep.-R-MI-10]",Republican,2021-10-27,Armed Forces and National Security
H.R. 5681,117th Congress (2021-2022),Shadow Wolves Enhancement Act,"Katko, John [Rep.-R-NY-24]",Republican,2021-10-22,Immigration
H.R. 5659,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the ""John R. Hatcher III Post Office Building"".","Brownley, Julia [Rep.-D-CA-26]",Democratic,2021-10-21,California
